db-mongo,12.84%,0.28%
fiware-orion,45.93%,0.08%
nifi,468.73%,7.03%
db-mongo,13.54%,0.28%
fiware-orion,39.63%,0.08%
nifi,299.17%,7.32%
db-mongo,14.66%,0.28%
fiware-orion,30.01%,0.08%
nifi,294.73%,7.56%
db-mongo,13.96%,0.28%
fiware-orion,49.48%,0.08%
nifi,236.55%,7.69%
db-mongo,13.63%,0.28%
fiware-orion,49.12%,0.08%
nifi,259.46%,7.89%
db-mongo,14.39%,0.28%
fiware-orion,50.52%,0.08%
nifi,274.70%,7.93%
db-mongo,13.69%,0.28%
fiware-orion,46.66%,0.08%
nifi,282.00%,7.92%
db-mongo,14.07%,0.28%
fiware-orion,49.15%,0.08%
nifi,321.29%,7.96%
db-mongo,12.54%,0.28%
fiware-orion,33.85%,0.08%
nifi,300.32%,7.99%
db-mongo,11.19%,0.28%
fiware-orion,40.47%,0.08%
nifi,189.13%,8.01%
db-mongo,13.02%,0.28%
fiware-orion,48.80%,0.08%
nifi,248.25%,8.04%
db-mongo,3.77%,0.27%
fiware-orion,13.85%,0.08%
nifi,185.23%,8.06%
db-mongo,14.69%,0.27%
fiware-orion,56.08%,0.08%
nifi,269.25%,8.08%
db-mongo,14.18%,0.27%
fiware-orion,38.86%,0.08%
nifi,209.53%,8.12%
db-mongo,1.34%,0.27%
fiware-orion,0.02%,0.08%
nifi,3.82%,8.12%
db-mongo,0.29%,0.27%
fiware-orion,0.00%,0.07%
nifi,4.42%,8.12%
db-mongo,0.29%,0.27%
fiware-orion,0.00%,0.07%
nifi,4.41%,8.12%
db-mongo,4.98%,0.27%
fiware-orion,17.47%,0.09%
nifi,106.53%,8.13%
db-mongo,0.27%,0.27%
fiware-orion,48.34%,0.08%
nifi,148.94%,8.15%
db-mongo,6.69%,0.27%
fiware-orion,26.16%,0.08%
nifi,164.77%,8.17%
db-mongo,12.90%,0.27%
fiware-orion,41.26%,0.08%
nifi,174.02%,8.21%
db-mongo,14.13%,0.27%
fiware-orion,55.94%,0.08%
nifi,230.78%,8.22%
db-mongo,14.18%,0.27%
fiware-orion,54.89%,0.08%
nifi,249.32%,8.24%
db-mongo,13.87%,0.27%
fiware-orion,52.56%,0.09%
nifi,184.08%,8.26%
db-mongo,13.25%,0.27%
fiware-orion,51.78%,0.09%
nifi,165.52%,8.28%
db-mongo,12.32%,0.27%
fiware-orion,41.44%,0.09%
nifi,195.92%,8.31%
db-mongo,0.27%,0.27%
fiware-orion,0.00%,0.08%
nifi,3.92%,8.31%
db-mongo,0.29%,0.27%
fiware-orion,0.00%,0.08%
nifi,3.97%,8.31%
db-mongo,0.74%,0.27%
fiware-orion,0.00%,0.08%
nifi,3.86%,8.31%
db-mongo,0.26%,0.27%
fiware-orion,0.00%,0.08%
nifi,3.43%,8.31%
db-mongo,10.61%,0.27%
fiware-orion,42.03%,0.09%
nifi,3.30%,8.32%
db-mongo,13.72%,0.27%
fiware-orion,37.40%,0.10%
nifi,178.93%,8.37%
db-mongo,13.12%,0.27%
fiware-orion,42.85%,0.09%
nifi,272.89%,8.39%
