scorpio,138.90%,21.08%
kafka,41.93%,7.28%
postgres,40.61%,1.93%
nifi,88.29%,7.35%
scorpio,151.47%,21.08%
kafka,47.61%,7.29%
postgres,44.71%,1.93%
nifi,77.93%,7.38%
scorpio,147.96%,21.08%
kafka,44.31%,7.32%
postgres,42.30%,1.93%
nifi,75.72%,7.40%
scorpio,137.03%,21.07%
kafka,41.11%,7.33%
postgres,45.83%,1.93%
nifi,91.46%,7.43%
scorpio,147.59%,21.07%
kafka,44.94%,7.34%
postgres,49.01%,1.94%
nifi,81.33%,7.45%
scorpio,136.50%,21.06%
kafka,41.29%,7.35%
postgres,38.82%,1.94%
nifi,84.44%,7.47%
scorpio,268.01%,21.06%
kafka,41.48%,7.36%
postgres,37.45%,1.94%
nifi,97.12%,7.50%
scorpio,278.13%,21.07%
kafka,42.20%,7.37%
postgres,39.21%,1.94%
nifi,76.09%,7.51%
scorpio,274.16%,21.07%
kafka,39.49%,7.38%
postgres,39.29%,1.94%
nifi,87.08%,7.52%
scorpio,281.41%,21.06%
kafka,43.74%,7.39%
postgres,46.15%,1.94%
nifi,77.26%,7.57%
scorpio,258.35%,21.05%
kafka,39.87%,7.40%
postgres,36.50%,1.94%
nifi,81.38%,7.59%
scorpio,258.90%,21.05%
kafka,41.83%,7.40%
postgres,38.77%,1.94%
nifi,90.52%,7.62%
scorpio,293.24%,21.05%
kafka,42.68%,7.41%
postgres,43.27%,1.96%
nifi,80.51%,7.64%
scorpio,288.23%,21.05%
kafka,42.32%,7.41%
postgres,39.65%,1.96%
nifi,79.53%,7.66%
scorpio,427.25%,21.05%
kafka,37.48%,7.54%
postgres,39.97%,2.01%
nifi,69.84%,7.68%
scorpio,303.02%,21.05%
kafka,39.53%,7.54%
postgres,48.60%,2.28%
nifi,51.31%,7.70%
scorpio,141.98%,21.05%
kafka,43.12%,7.54%
postgres,61.95%,2.31%
nifi,89.29%,7.72%
scorpio,140.80%,21.05%
kafka,39.55%,7.55%
postgres,67.69%,2.31%
nifi,78.21%,7.75%
scorpio,119.84%,21.05%
kafka,35.58%,7.56%
postgres,79.06%,2.33%
nifi,77.48%,7.79%
scorpio,119.59%,21.05%
kafka,35.43%,7.57%
postgres,80.10%,2.33%
nifi,70.58%,7.83%
scorpio,154.38%,21.05%
kafka,45.34%,7.58%
postgres,45.48%,2.10%
nifi,76.66%,7.86%
scorpio,149.58%,21.05%
kafka,51.65%,7.58%
postgres,43.69%,2.11%
nifi,123.96%,7.77%
scorpio,139.68%,21.05%
kafka,40.86%,7.60%
postgres,40.90%,2.11%
nifi,83.01%,7.81%
scorpio,139.99%,21.04%
kafka,39.82%,7.60%
postgres,42.83%,2.11%
nifi,87.64%,7.84%
scorpio,266.21%,21.05%
kafka,42.78%,7.62%
postgres,39.86%,2.11%
nifi,78.38%,7.87%
scorpio,266.76%,21.05%
kafka,42.90%,7.63%
postgres,42.17%,2.11%
nifi,82.99%,7.92%
scorpio,277.50%,21.04%
kafka,48.41%,7.63%
postgres,39.88%,2.11%
nifi,79.99%,7.96%
scorpio,273.02%,21.04%
kafka,41.00%,7.64%
postgres,38.44%,2.11%
nifi,78.94%,8.00%
scorpio,273.66%,21.04%
kafka,41.99%,7.66%
postgres,35.66%,2.11%
nifi,116.61%,8.03%
scorpio,283.23%,21.04%
kafka,41.36%,7.67%
postgres,39.49%,2.11%
nifi,80.93%,8.07%
scorpio,284.59%,21.04%
kafka,43.80%,7.68%
postgres,42.07%,2.11%
nifi,88.24%,8.11%
scorpio,284.41%,21.04%
kafka,44.78%,7.69%
postgres,43.51%,2.14%
nifi,95.30%,8.13%
scorpio,204.84%,21.05%
kafka,38.21%,7.70%
postgres,38.39%,2.29%
nifi,63.68%,8.23%
scorpio,135.33%,21.05%
kafka,38.54%,7.70%
postgres,59.82%,2.47%
nifi,94.51%,8.23%
scorpio,129.30%,21.05%
kafka,39.18%,7.71%
postgres,65.27%,2.64%
nifi,76.41%,8.24%
