kafka,40.29%,0.12%
nifi,480.05%,0.38%
kafka,35.70%,0.12%
nifi,554.48%,0.38%
kafka,45.33%,0.12%
nifi,436.89%,0.39%
kafka,40.66%,0.12%
nifi,675.61%,0.40%
kafka,46.90%,0.12%
nifi,351.50%,0.40%
kafka,38.07%,0.12%
nifi,445.90%,0.40%
kafka,39.39%,0.12%
nifi,536.83%,0.40%
kafka,41.69%,0.12%
nifi,601.11%,0.40%
kafka,195.03%,0.12%
nifi,429.77%,0.40%
kafka,103.73%,0.13%
nifi,458.50%,0.40%
kafka,49.40%,0.13%
nifi,441.15%,0.40%
kafka,60.40%,0.13%
nifi,422.95%,0.40%
kafka,38.87%,0.13%
nifi,536.37%,0.40%
kafka,37.87%,0.13%
nifi,394.77%,0.40%
kafka,50.04%,0.13%
nifi,479.76%,0.40%
kafka,57.43%,0.13%
nifi,497.25%,0.40%
kafka,107.53%,0.13%
nifi,539.18%,0.40%
kafka,41.54%,0.13%
nifi,489.17%,0.40%
kafka,49.64%,0.13%
nifi,493.84%,0.40%
kafka,38.67%,0.13%
nifi,519.92%,0.40%
kafka,45.88%,0.13%
nifi,659.99%,0.40%
kafka,52.87%,0.13%
nifi,462.76%,0.40%
kafka,50.08%,0.13%
nifi,535.09%,0.40%
kafka,44.75%,0.13%
nifi,499.89%,0.41%
kafka,267.19%,0.13%
nifi,446.16%,0.41%
kafka,38.88%,0.13%
nifi,510.44%,0.41%
kafka,33.92%,0.13%
nifi,537.65%,0.41%
kafka,63.68%,0.13%
nifi,705.67%,0.40%
kafka,137.54%,0.13%
nifi,481.32%,0.40%
kafka,93.36%,0.13%
nifi,401.11%,0.40%
kafka,34.41%,0.13%
nifi,535.00%,0.40%
kafka,36.12%,0.13%
nifi,482.74%,0.40%
