kafka,13.33%,0.12%
nifi,119.02%,0.34%
kafka,56.83%,0.12%
nifi,159.86%,0.34%
kafka,18.64%,0.12%
nifi,145.16%,0.34%
kafka,91.87%,0.12%
nifi,131.80%,0.34%
kafka,16.66%,0.12%
nifi,87.93%,0.34%
kafka,12.53%,0.11%
nifi,89.64%,0.34%
kafka,99.39%,0.12%
nifi,116.81%,0.34%
kafka,9.90%,0.12%
nifi,330.56%,0.34%
kafka,13.38%,0.11%
nifi,127.74%,0.34%
kafka,10.21%,0.11%
nifi,160.51%,0.34%
kafka,8.90%,0.11%
nifi,99.05%,0.34%
kafka,132.00%,0.12%
nifi,126.29%,0.34%
kafka,17.41%,0.12%
nifi,75.73%,0.34%
kafka,20.16%,0.11%
nifi,95.82%,0.34%
kafka,13.20%,0.12%
nifi,194.03%,0.34%
kafka,11.08%,0.12%
nifi,85.72%,0.34%
kafka,156.70%,0.12%
nifi,78.02%,0.34%
kafka,18.82%,0.12%
nifi,271.37%,0.34%
kafka,11.20%,0.12%
nifi,100.18%,0.34%
kafka,10.46%,0.12%
nifi,157.91%,0.34%
kafka,10.81%,0.12%
nifi,93.16%,0.34%
kafka,13.18%,0.12%
nifi,86.83%,0.34%
kafka,22.90%,0.12%
nifi,135.63%,0.34%
kafka,14.37%,0.12%
nifi,125.25%,0.34%
kafka,19.86%,0.12%
nifi,252.74%,0.34%
kafka,14.69%,0.12%
nifi,174.98%,0.34%
kafka,13.88%,0.12%
nifi,104.63%,0.34%
kafka,12.96%,0.12%
nifi,79.91%,0.34%
kafka,14.01%,0.12%
nifi,117.70%,0.34%
kafka,13.77%,0.12%
nifi,133.01%,0.34%
kafka,13.62%,0.12%
nifi,176.79%,0.34%
kafka,11.44%,0.12%
nifi,98.97%,0.34%
kafka,15.50%,0.12%
nifi,257.79%,0.34%
