db-mongo,18.27%,0.01%
fiware-orion,69.58%,0.00%
nifi,676.76%,0.39%
db-mongo,19.02%,0.01%
fiware-orion,76.46%,0.00%
nifi,459.72%,0.39%
db-mongo,19.04%,0.01%
fiware-orion,67.18%,0.00%
nifi,508.23%,0.39%
db-mongo,19.65%,0.01%
fiware-orion,65.58%,0.00%
nifi,439.12%,0.39%
db-mongo,23.34%,0.01%
fiware-orion,68.30%,0.00%
nifi,594.18%,0.39%
db-mongo,17.04%,0.01%
fiware-orion,69.48%,0.00%
nifi,550.86%,0.39%
db-mongo,23.33%,0.01%
fiware-orion,67.78%,0.00%
nifi,470.80%,0.39%
db-mongo,17.58%,0.01%
fiware-orion,64.13%,0.00%
nifi,506.79%,0.39%
db-mongo,24.18%,0.01%
fiware-orion,76.78%,0.00%
nifi,480.38%,0.39%
db-mongo,25.32%,0.01%
fiware-orion,74.65%,0.00%
nifi,432.16%,0.39%
db-mongo,23.81%,0.01%
fiware-orion,84.56%,0.00%
nifi,573.63%,0.39%
db-mongo,23.13%,0.01%
fiware-orion,80.07%,0.00%
nifi,518.01%,0.39%
db-mongo,29.90%,0.01%
fiware-orion,80.54%,0.00%
nifi,449.35%,0.39%
db-mongo,22.89%,0.01%
fiware-orion,77.46%,0.00%
nifi,573.17%,0.39%
db-mongo,18.21%,0.01%
fiware-orion,86.46%,0.00%
nifi,515.59%,0.39%
db-mongo,21.99%,0.01%
fiware-orion,75.84%,0.00%
nifi,480.94%,0.39%
db-mongo,23.32%,0.01%
fiware-orion,70.88%,0.00%
nifi,437.07%,0.39%
db-mongo,19.40%,0.01%
fiware-orion,81.57%,0.00%
nifi,715.41%,0.39%
db-mongo,16.24%,0.01%
fiware-orion,55.45%,0.00%
nifi,491.07%,0.39%
db-mongo,20.49%,0.01%
fiware-orion,67.95%,0.00%
nifi,440.68%,0.39%
db-mongo,23.30%,0.01%
fiware-orion,79.78%,0.00%
nifi,434.44%,0.39%
db-mongo,24.57%,0.01%
fiware-orion,74.05%,0.00%
nifi,459.69%,0.39%
db-mongo,22.63%,0.01%
fiware-orion,78.11%,0.00%
nifi,485.23%,0.39%
db-mongo,23.96%,0.01%
fiware-orion,74.22%,0.00%
nifi,576.69%,0.39%
db-mongo,17.53%,0.01%
fiware-orion,76.43%,0.00%
nifi,603.95%,0.39%
db-mongo,22.52%,0.01%
fiware-orion,76.49%,0.00%
nifi,515.47%,0.39%
db-mongo,16.71%,0.01%
fiware-orion,81.97%,0.00%
nifi,582.07%,0.40%
db-mongo,22.15%,0.01%
fiware-orion,81.68%,0.00%
nifi,419.75%,0.39%
db-mongo,24.12%,0.01%
fiware-orion,70.41%,0.00%
nifi,434.39%,0.39%
db-mongo,23.39%,0.01%
fiware-orion,79.58%,0.00%
nifi,474.12%,0.39%
db-mongo,26.33%,0.01%
fiware-orion,62.13%,0.00%
nifi,637.36%,0.40%
db-mongo,20.91%,0.01%
fiware-orion,74.22%,0.00%
nifi,619.03%,0.40%
