scorpio,149.57%,3.12%
postgres,25.10%,0.06%
kafka,37.61%,0.16%
nifi,444.29%,0.42%
scorpio,151.81%,3.12%
postgres,28.57%,0.06%
kafka,36.32%,0.16%
nifi,439.06%,0.42%
scorpio,82.82%,3.12%
postgres,30.33%,0.06%
kafka,30.71%,0.16%
nifi,639.25%,0.42%
scorpio,120.53%,3.12%
postgres,25.12%,0.06%
kafka,33.75%,0.16%
nifi,494.33%,0.42%
scorpio,141.33%,3.12%
postgres,29.69%,0.06%
kafka,43.64%,0.16%
nifi,483.24%,0.42%
scorpio,135.44%,3.12%
postgres,36.69%,0.06%
kafka,45.84%,0.16%
nifi,429.55%,0.42%
scorpio,149.63%,3.12%
postgres,34.21%,0.06%
kafka,47.54%,0.16%
nifi,471.96%,0.42%
scorpio,121.09%,3.12%
postgres,27.13%,0.06%
kafka,40.26%,0.16%
nifi,630.17%,0.42%
scorpio,147.63%,3.12%
postgres,31.15%,0.06%
kafka,195.13%,0.16%
nifi,532.73%,0.42%
scorpio,144.03%,3.12%
postgres,32.66%,0.06%
kafka,44.05%,0.16%
nifi,529.49%,0.42%
scorpio,220.94%,3.12%
postgres,57.78%,0.06%
kafka,39.33%,0.16%
nifi,484.37%,0.42%
scorpio,143.51%,3.12%
postgres,33.79%,0.06%
kafka,45.58%,0.16%
nifi,422.55%,0.42%
scorpio,165.08%,3.12%
postgres,36.60%,0.06%
kafka,46.15%,0.16%
nifi,438.28%,0.42%
scorpio,147.87%,3.12%
postgres,36.99%,0.06%
kafka,40.57%,0.16%
nifi,433.47%,0.42%
scorpio,149.91%,3.12%
postgres,33.44%,0.06%
kafka,44.03%,0.16%
nifi,394.85%,0.42%
scorpio,134.17%,3.12%
postgres,31.26%,0.06%
kafka,215.70%,0.16%
nifi,671.49%,0.42%
scorpio,103.80%,3.12%
postgres,35.30%,0.06%
kafka,31.12%,0.16%
nifi,500.30%,0.42%
scorpio,132.94%,3.12%
postgres,41.17%,0.06%
kafka,50.19%,0.16%
nifi,443.56%,0.42%
scorpio,89.27%,3.12%
postgres,34.40%,0.06%
kafka,39.99%,0.16%
nifi,414.33%,0.42%
scorpio,143.61%,3.12%
postgres,33.21%,0.06%
kafka,39.87%,0.16%
nifi,397.11%,0.42%
scorpio,126.10%,3.12%
postgres,41.43%,0.06%
kafka,164.25%,0.16%
nifi,445.13%,0.42%
scorpio,133.41%,3.12%
postgres,36.70%,0.06%
kafka,43.17%,0.16%
nifi,437.21%,0.42%
scorpio,115.39%,3.12%
postgres,28.07%,0.06%
kafka,34.67%,0.16%
nifi,576.53%,0.42%
scorpio,139.55%,3.12%
postgres,26.91%,0.06%
kafka,36.22%,0.16%
nifi,477.45%,0.42%
scorpio,138.56%,3.12%
postgres,43.75%,0.06%
kafka,40.71%,0.16%
nifi,532.08%,0.42%
scorpio,144.84%,3.12%
postgres,62.74%,0.06%
kafka,123.68%,0.16%
nifi,479.31%,0.42%
scorpio,59.86%,3.12%
postgres,34.38%,0.06%
kafka,45.63%,0.16%
nifi,391.21%,0.42%
scorpio,145.04%,3.12%
postgres,35.57%,0.06%
kafka,45.58%,0.16%
nifi,358.67%,0.42%
scorpio,90.17%,3.12%
postgres,20.33%,0.06%
kafka,28.68%,0.16%
nifi,510.75%,0.42%
scorpio,131.27%,3.12%
postgres,32.35%,0.06%
kafka,35.17%,0.16%
nifi,470.68%,0.42%
scorpio,134.60%,3.12%
postgres,31.92%,0.06%
kafka,214.37%,0.16%
nifi,439.44%,0.42%
