kafka,13.00%,0.11%
nifi,112.69%,0.34%
kafka,13.66%,0.11%
nifi,87.27%,0.34%
kafka,12.33%,0.11%
nifi,101.00%,0.34%
kafka,9.77%,0.11%
nifi,158.94%,0.34%
kafka,16.47%,0.11%
nifi,123.96%,0.34%
kafka,146.12%,0.12%
nifi,90.31%,0.34%
kafka,18.61%,0.12%
nifi,63.08%,0.34%
kafka,14.09%,0.11%
nifi,84.53%,0.34%
kafka,11.38%,0.11%
nifi,54.94%,0.34%
kafka,9.88%,0.11%
nifi,73.06%,0.34%
kafka,7.91%,0.11%
nifi,105.45%,0.34%
kafka,9.10%,0.11%
nifi,154.51%,0.34%
kafka,19.33%,0.11%
nifi,73.94%,0.34%
kafka,77.98%,0.13%
nifi,59.84%,0.34%
kafka,8.75%,0.12%
nifi,164.34%,0.34%
kafka,8.59%,0.12%
nifi,111.38%,0.34%
kafka,5.49%,0.11%
nifi,98.96%,0.34%
kafka,5.34%,0.11%
nifi,63.32%,0.34%
kafka,8.54%,0.11%
nifi,53.12%,0.34%
kafka,9.91%,0.11%
nifi,58.22%,0.34%
kafka,8.46%,0.12%
nifi,186.23%,0.34%
kafka,43.82%,0.12%
nifi,49.66%,0.34%
kafka,6.57%,0.12%
nifi,47.11%,0.34%
kafka,9.61%,0.12%
nifi,57.23%,0.34%
kafka,35.27%,0.12%
nifi,99.06%,0.34%
kafka,7.31%,0.12%
nifi,92.41%,0.34%
kafka,9.17%,0.12%
nifi,53.31%,0.34%
kafka,12.36%,0.12%
nifi,55.97%,0.34%
kafka,30.55%,0.12%
nifi,81.30%,0.34%
kafka,7.00%,0.12%
nifi,51.05%,0.34%
kafka,7.80%,0.12%
nifi,49.08%,0.34%
kafka,9.74%,0.12%
nifi,55.53%,0.34%
kafka,23.43%,0.12%
nifi,51.13%,0.34%
