kafka,87.43%,0.11%
nifi,596.21%,0.33%
kafka,297.87%,0.13%
nifi,610.16%,0.33%
kafka,263.79%,0.12%
nifi,505.69%,0.34%
kafka,52.78%,0.12%
nifi,758.36%,0.34%
kafka,114.29%,0.12%
nifi,513.51%,0.35%
kafka,163.80%,0.13%
nifi,550.52%,0.36%
kafka,84.20%,0.12%
nifi,504.00%,0.36%
kafka,119.59%,0.12%
nifi,530.62%,0.37%
kafka,66.15%,0.12%
nifi,1346.31%,0.37%
kafka,239.03%,0.12%
nifi,578.51%,0.38%
kafka,51.51%,0.12%
nifi,443.30%,0.38%
kafka,323.52%,0.12%
nifi,443.65%,0.37%
kafka,215.00%,0.12%
nifi,454.27%,0.38%
kafka,60.07%,0.12%
nifi,573.85%,0.38%
kafka,119.78%,0.12%
nifi,547.79%,0.38%
kafka,592.44%,0.13%
nifi,612.84%,0.38%
kafka,52.96%,0.13%
nifi,444.07%,0.38%
kafka,68.01%,0.12%
nifi,556.15%,0.38%
kafka,89.94%,0.12%
nifi,390.73%,0.38%
kafka,54.59%,0.12%
nifi,468.29%,0.38%
kafka,57.49%,0.12%
nifi,446.75%,0.39%
kafka,66.68%,0.12%
nifi,403.62%,0.39%
kafka,54.77%,0.12%
nifi,577.50%,0.40%
kafka,95.96%,0.12%
nifi,507.21%,0.40%
kafka,52.31%,0.12%
nifi,520.51%,0.40%
kafka,127.54%,0.12%
nifi,506.49%,0.40%
kafka,60.03%,0.12%
nifi,479.20%,0.40%
kafka,61.19%,0.12%
nifi,457.84%,0.40%
kafka,51.88%,0.12%
nifi,433.30%,0.40%
kafka,48.85%,0.12%
nifi,440.94%,0.40%
kafka,131.13%,0.12%
nifi,512.43%,0.40%
kafka,125.89%,0.12%
nifi,452.40%,0.40%
