3.43%,6.13%
6.50%,6.13%
5.24%,6.13%
6.50%,6.14%
7.41%,6.14%
5.78%,6.14%
6.50%,6.14%
7.42%,6.13%
5.46%,6.14%
6.26%,6.13%
5.57%,6.13%
8.04%,6.13%
6.71%,6.13%
6.05%,6.13%
8.61%,6.13%
15.35%,6.13%
11.61%,6.13%
5.59%,6.13%
6.83%,6.13%
5.90%,6.13%
7.08%,6.13%
4.56%,6.13%
9.83%,6.13%
6.97%,6.13%
7.55%,6.13%
6.44%,6.13%
4.90%,6.13%
6.78%,6.13%
8.83%,6.13%
6.23%,6.13%
5.92%,6.13%
6.10%,6.13%
6.33%,6.13%
9.43%,6.14%
6.01%,6.13%
5.95%,6.13%
11.07%,6.13%
8.63%,6.13%
6.48%,6.13%
4.62%,6.13%
5.58%,6.13%
4.25%,6.13%
