kafka,7.94%,0.18%
nifi,31.85%,0.44%
kafka,7.52%,0.18%
nifi,37.57%,0.44%
kafka,6.91%,0.18%
nifi,54.96%,0.44%
kafka,7.53%,0.18%
nifi,94.73%,0.44%
kafka,8.65%,0.18%
nifi,36.35%,0.44%
kafka,8.80%,0.18%
nifi,48.49%,0.44%
kafka,8.83%,0.18%
nifi,34.72%,0.44%
kafka,8.06%,0.18%
nifi,52.80%,0.44%
kafka,6.33%,0.18%
nifi,33.28%,0.44%
kafka,8.33%,0.18%
nifi,33.24%,0.44%
kafka,7.99%,0.18%
nifi,35.40%,0.44%
kafka,8.06%,0.18%
nifi,33.68%,0.44%
kafka,10.04%,0.18%
nifi,36.12%,0.44%
kafka,14.66%,0.18%
nifi,45.15%,0.44%
kafka,13.50%,0.18%
nifi,28.24%,0.44%
kafka,7.43%,0.18%
nifi,31.92%,0.44%
kafka,8.27%,0.18%
nifi,35.08%,0.44%
kafka,6.78%,0.18%
nifi,33.23%,0.44%
kafka,8.04%,0.18%
nifi,33.39%,0.44%
kafka,7.92%,0.18%
nifi,30.43%,0.44%
kafka,6.44%,0.18%
nifi,37.54%,0.44%
kafka,10.24%,0.18%
nifi,29.11%,0.44%
kafka,6.86%,0.18%
nifi,59.36%,0.44%
kafka,8.53%,0.18%
nifi,32.70%,0.44%
kafka,113.14%,0.18%
nifi,33.56%,0.44%
kafka,9.06%,0.18%
nifi,31.12%,0.44%
kafka,10.34%,0.18%
nifi,26.67%,0.44%
kafka,8.18%,0.18%
nifi,46.83%,0.44%
kafka,8.04%,0.18%
nifi,31.49%,0.44%
kafka,8.88%,0.18%
nifi,34.03%,0.44%
kafka,7.83%,0.18%
nifi,39.10%,0.44%
kafka,6.35%,0.18%
nifi,44.50%,0.44%
kafka,9.21%,0.18%
nifi,39.26%,0.44%
