2.95%,7.03%
10.71%,7.03%
11.18%,7.03%
11.47%,7.03%
8.27%,7.03%
12.04%,7.03%
11.97%,7.03%
13.55%,7.03%
12.24%,7.03%
13.10%,7.03%
11.89%,7.03%
12.45%,7.03%
11.25%,7.03%
12.67%,7.03%
11.75%,7.03%
9.00%,7.03%
9.92%,7.03%
10.54%,7.03%
13.12%,7.03%
11.67%,7.03%
12.83%,7.04%
11.31%,7.03%
11.47%,7.03%
13.79%,7.03%
12.59%,7.03%
12.38%,7.03%
14.53%,7.03%
10.97%,7.03%
9.29%,7.03%
12.10%,7.03%
11.05%,7.03%
9.82%,7.04%
11.76%,7.04%
11.10%,7.04%
10.34%,7.04%
12.38%,7.03%
9.92%,7.04%
12.38%,7.04%
12.95%,7.04%
17.53%,7.03%
3.18%,7.04%
3.88%,7.04%
