0.00%,0.36%
84.54%,0.41%
84.08%,0.40%
82.23%,0.42%
85.22%,0.42%
85.07%,0.42%
86.30%,0.43%
236.87%,0.42%
215.43%,0.43%
241.05%,0.43%
236.47%,0.43%
158.72%,0.42%
239.35%,0.42%
251.39%,0.43%
352.25%,0.44%
362.63%,0.44%
329.08%,0.44%
353.16%,0.44%
371.40%,0.44%
359.56%,0.43%
362.87%,0.44%
277.40%,0.42%
83.32%,0.42%
83.11%,0.43%
82.30%,0.42%
85.36%,0.42%
85.16%,0.41%
126.06%,0.42%
205.69%,0.43%
241.06%,0.44%
236.38%,0.42%
232.26%,0.43%
248.34%,0.43%
244.60%,0.44%
254.20%,0.43%
373.51%,0.44%
373.92%,0.44%
373.87%,0.42%
285.29%,0.45%
369.54%,0.45%
0.00%,0.39%
