db-mongo,32.55%,0.01%
fiware-orion,114.60%,0.00%
nifi,515.52%,0.41%
db-mongo,29.43%,0.01%
fiware-orion,113.92%,0.00%
nifi,504.94%,0.41%
db-mongo,33.78%,0.01%
fiware-orion,119.24%,0.00%
nifi,450.36%,0.41%
db-mongo,28.19%,0.01%
fiware-orion,110.42%,0.00%
nifi,465.50%,0.41%
db-mongo,30.45%,0.01%
fiware-orion,115.46%,0.00%
nifi,530.46%,0.41%
db-mongo,37.02%,0.01%
fiware-orion,114.89%,0.00%
nifi,461.57%,0.41%
db-mongo,30.53%,0.01%
fiware-orion,125.90%,0.00%
nifi,578.45%,0.41%
db-mongo,26.72%,0.01%
fiware-orion,118.34%,0.00%
nifi,518.02%,0.41%
db-mongo,29.61%,0.01%
fiware-orion,121.35%,0.00%
nifi,437.04%,0.41%
db-mongo,33.37%,0.01%
fiware-orion,116.33%,0.00%
nifi,575.64%,0.41%
db-mongo,31.15%,0.01%
fiware-orion,118.09%,0.00%
nifi,470.59%,0.41%
db-mongo,31.02%,0.01%
fiware-orion,123.18%,0.00%
nifi,519.20%,0.41%
db-mongo,33.54%,0.01%
fiware-orion,122.20%,0.00%
nifi,485.69%,0.41%
db-mongo,35.65%,0.01%
fiware-orion,120.47%,0.00%
nifi,600.59%,0.41%
db-mongo,27.78%,0.01%
fiware-orion,132.93%,0.00%
nifi,383.57%,0.41%
db-mongo,31.11%,0.01%
fiware-orion,103.92%,0.00%
nifi,490.39%,0.41%
db-mongo,31.77%,0.01%
fiware-orion,119.00%,0.00%
nifi,378.95%,0.41%
db-mongo,31.82%,0.01%
fiware-orion,123.39%,0.00%
nifi,423.29%,0.41%
db-mongo,32.46%,0.01%
fiware-orion,110.81%,0.00%
nifi,449.05%,0.41%
db-mongo,28.55%,0.01%
fiware-orion,123.04%,0.00%
nifi,400.69%,0.41%
db-mongo,30.89%,0.01%
fiware-orion,119.57%,0.00%
nifi,526.14%,0.41%
db-mongo,31.40%,0.01%
fiware-orion,124.24%,0.00%
nifi,457.85%,0.41%
db-mongo,31.19%,0.01%
fiware-orion,125.84%,0.00%
nifi,430.93%,0.41%
db-mongo,31.06%,0.01%
fiware-orion,135.50%,0.00%
nifi,409.01%,0.41%
db-mongo,32.30%,0.01%
fiware-orion,122.33%,0.00%
nifi,374.34%,0.41%
db-mongo,30.07%,0.01%
fiware-orion,121.44%,0.00%
nifi,371.16%,0.41%
db-mongo,35.01%,0.01%
fiware-orion,123.34%,0.00%
nifi,383.14%,0.41%
db-mongo,34.32%,0.01%
fiware-orion,125.76%,0.00%
nifi,395.01%,0.41%
db-mongo,35.27%,0.01%
fiware-orion,129.90%,0.00%
nifi,467.18%,0.41%
db-mongo,33.07%,0.01%
fiware-orion,130.04%,0.00%
nifi,416.31%,0.41%
db-mongo,35.97%,0.01%
fiware-orion,115.59%,0.00%
nifi,384.85%,0.41%
db-mongo,30.86%,0.01%
fiware-orion,117.59%,0.00%
nifi,391.38%,0.41%
