scorpio,1260.64%,2.00%
postgres,22.45%,0.02%
kafka,87.29%,0.12%
nifi,365.65%,0.31%
scorpio,561.12%,2.03%
postgres,26.78%,0.02%
kafka,121.82%,0.12%
nifi,308.78%,0.32%
scorpio,683.79%,2.03%
postgres,28.46%,0.02%
kafka,110.10%,0.12%
nifi,703.53%,0.32%
scorpio,602.17%,2.08%
postgres,25.85%,0.02%
kafka,65.55%,0.12%
nifi,996.32%,0.33%
scorpio,558.52%,2.08%
postgres,28.17%,0.03%
kafka,213.24%,0.13%
nifi,309.64%,0.33%
scorpio,671.88%,2.08%
postgres,33.36%,0.03%
kafka,94.94%,0.12%
nifi,290.48%,0.33%
scorpio,415.84%,2.09%
postgres,33.55%,0.03%
kafka,57.20%,0.12%
nifi,276.80%,0.33%
scorpio,386.52%,2.10%
postgres,29.23%,0.03%
kafka,50.51%,0.12%
nifi,323.01%,0.33%
scorpio,375.13%,2.10%
postgres,28.65%,0.03%
kafka,121.58%,0.12%
nifi,346.44%,0.33%
scorpio,468.10%,2.10%
postgres,29.19%,0.03%
kafka,230.48%,0.13%
nifi,152.28%,0.33%
scorpio,453.44%,2.11%
postgres,27.95%,0.03%
kafka,149.74%,0.12%
nifi,304.38%,0.33%
scorpio,244.64%,2.11%
postgres,26.85%,0.03%
kafka,85.50%,0.12%
nifi,339.75%,0.33%
scorpio,530.43%,2.12%
postgres,26.98%,0.03%
kafka,123.96%,0.12%
nifi,190.69%,0.33%
scorpio,313.33%,2.12%
postgres,25.98%,0.03%
kafka,33.84%,0.12%
nifi,236.40%,0.33%
scorpio,236.66%,2.12%
postgres,31.11%,0.03%
kafka,40.90%,0.12%
nifi,169.04%,0.33%
scorpio,219.12%,2.20%
postgres,40.32%,0.03%
kafka,38.91%,0.12%
nifi,203.00%,0.33%
scorpio,323.74%,2.23%
postgres,36.63%,0.03%
kafka,41.24%,0.12%
nifi,182.21%,0.33%
scorpio,206.09%,2.23%
postgres,29.15%,0.03%
kafka,43.96%,0.12%
nifi,173.35%,0.33%
scorpio,198.80%,2.24%
postgres,29.51%,0.03%
kafka,42.80%,0.12%
nifi,175.69%,0.33%
scorpio,372.67%,2.24%
postgres,29.03%,0.03%
kafka,35.40%,0.12%
nifi,263.31%,0.33%
scorpio,173.15%,2.27%
postgres,29.99%,0.03%
kafka,37.49%,0.12%
nifi,177.38%,0.33%
scorpio,469.50%,2.29%
postgres,25.35%,0.03%
kafka,37.77%,0.12%
nifi,175.25%,0.33%
scorpio,296.69%,2.30%
postgres,31.15%,0.03%
kafka,65.18%,0.13%
nifi,112.68%,0.33%
scorpio,259.71%,2.30%
postgres,33.02%,0.03%
kafka,38.60%,0.12%
nifi,294.38%,0.33%
scorpio,164.32%,2.31%
postgres,31.90%,0.03%
kafka,38.43%,0.13%
nifi,149.84%,0.33%
scorpio,190.55%,2.32%
postgres,33.56%,0.03%
kafka,43.38%,0.12%
nifi,218.61%,0.33%
scorpio,269.98%,2.33%
postgres,27.26%,0.03%
kafka,41.44%,0.12%
nifi,155.51%,0.33%
scorpio,175.53%,2.34%
postgres,31.90%,0.03%
kafka,38.81%,0.12%
nifi,160.51%,0.33%
scorpio,159.22%,2.36%
postgres,28.69%,0.03%
kafka,39.78%,0.12%
nifi,377.65%,0.33%
scorpio,204.48%,2.37%
postgres,25.87%,0.03%
kafka,45.37%,0.12%
nifi,142.64%,0.33%
scorpio,180.01%,2.38%
postgres,32.53%,0.03%
kafka,41.93%,0.12%
nifi,185.76%,0.33%
