4.57%,16.88%
130.96%,16.89%
138.13%,16.89%
131.57%,16.88%
155.83%,16.89%
149.31%,16.89%
124.99%,16.89%
128.29%,16.89%
154.21%,16.89%
107.30%,16.88%
164.98%,16.89%
125.43%,16.89%
166.93%,16.88%
166.86%,16.89%
112.13%,16.89%
165.30%,16.89%
184.12%,16.89%
180.51%,16.88%
181.76%,16.88%
181.43%,16.88%
200.56%,16.89%
186.82%,16.88%
136.73%,16.88%
137.55%,16.88%
120.76%,16.88%
142.84%,16.88%
122.06%,16.88%
170.32%,16.89%
135.29%,16.89%
99.29%,16.88%
141.16%,16.88%
139.57%,16.89%
173.11%,16.88%
180.65%,16.88%
139.71%,16.88%
122.67%,16.89%
170.27%,16.89%
173.09%,16.88%
181.65%,16.89%
180.39%,16.89%
188.53%,16.89%
186.50%,16.89%
24.25%,16.88%
18.83%,16.88%
